,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
0,Sultan,2021,N/A,02 Apr 2021,145 min,"Action, Drama",Bakkiyaraj Kannan,Bakkiyaraj Kannan,"Karthi, Rashmika Mandanna, Napolean, Lal","A man raised by gangsters tries to reform them, and a hired job to protect a village presents him with the perfect opportunity.",Tamil,India,N/A,https://m.media-amazon.com/images/M/MV5BZDA5NWViZTQtNDVhMC00M2E3LWJiMGEtMjkzZWQ4MTgxNTdlXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"1,315",tt11502940,movie,N/A,N/A,N/A,N/A,True
1,Gise Memuru,2010,N/A,13 Jan 2012,96 min,Drama,Tolga Karaçelik,Tolga Karaçelik,"Serkan Ercan, Zafer Diper, Nur Fettahoglu, Nergis Öztürk","Quiet and introverted toll booth clerk Kenan's life, a humdrum routine between the Tavsancik toll booth plaza and his home, will change the day the new operations chief comes to inspect Tavsancik.",Turkish,Turkey,4 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BNjE3NTM0MzE2OF5BMl5BanBnXkFtZTcwMDk0Mzc5Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",N/A,6.5,"3,774",tt1753866,movie,21 Mar 2017,N/A,Mantar Film,N/A,True
2,Gone in 60 Seconds,2000,PG-13,09 Jun 2000,118 min,"Action, Crime, Thriller",Dominic Sena,"H.B. Halicki, Scott Rosenberg (screenplay)","Nicolas Cage, Giovanni Ribisi, Angelina Jolie, T.J. Cross","Car theft in Long Beach went down 47% when Randall ""Memphis"" Raines walked away from the life. He gets dragged back into it by assuming the job his brother Kip screwed up for stolen-car broker Raymond Calitri: steal 50 exotic cars and have them on a container ship by 8 AM Friday morning, and he got this news on a Monday. With Calitri threatening to kill him and Kip, and the police GRAB unit breathing down his neck, Memphis reassembles his old crew and attempts to pull off the logistically impossible.",English,USA,9 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTIwMzExNDEwN15BMl5BanBnXkFtZTYwODMxMzg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.5,"263,490",tt0187078,movie,01 Feb 2017,"$101,648,571","Touchstone Pictures, Jerry Bruckheimer Films",N/A,True
3,Streamers,1983,R,14 Oct 1983,118 min,"Crime, Drama, War",Robert Altman,"David Rabe (play), David Rabe (screenplay)","Matthew Modine, Michael Wright, Mitchell Lichtenstein, David Alan Grier",Four young recruits about to be sent to Vietnam confront their prejudicial feelings toward one another when it's learned one of them is homosexual.,English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMDg3ODA1MzAtNDcxMS00MDM0LWE5NWMtYzkxNjZjZjRiY2E1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.5,"1,809",tt0086377,movie,04 Apr 2019,"$378,452",Streamers International,N/A,True
4,The TV Set,2006,R,28 Apr 2006,88 min,"Comedy, Drama",Jake Kasdan,Jake Kasdan,"David Duchovny, Sigourney Weaver, Ioan Gruffudd, Judy Greer","A television network is making a pilot of Mike's quirky comedy based on the aftermath of his brother's suicide. As the network suits ask for change after change, and as Mike struggles with compromise, there are strains on families, execs who show rushes to their children, leads who feel each other out, and assistants who put a smile on everything. Can an honest show get made in the world of reality TV chasing an audience of teen-aged boys?",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BODAyMjEzOTE0NF5BMl5BanBnXkFtZTcwMTc1NjU0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.5,"5,558",tt0473709,movie,11 Oct 2019,"$265,198",The TV Set Holding Company,N/A,True
5,Day Watch,2006,R,15 Jun 2007,132 min,"Action, Fantasy, Horror, Thriller",Timur Bekmambetov,"Timur Bekmambetov, Sergey Lukyanenko (novel), Alexander Talal (screenplay), Vladimir Vasiliev (novel)","Konstantin Khabenskiy, Mariya Poroshina, Vladimir Menshov, Galina Tyunina","Anton belongs to the Forces of the Light as do his powerful girlfriend and apprentice, but his son is a powerful teenager from the Darkness and Anton protects him. When the balance between Light and Darkness is affected by the death of some evil vampires, Anton is framed and accused of the murders, and he chases an ancient chalk that has the power of changing the destiny of its owner.",Russian,Russia,8 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMjMzNjQwODc2N15BMl5BanBnXkFtZTgwMDI3MDQzMzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.5,"33,488",tt0409904,movie,25 Nov 2015,"$450,897","Bazelevs Production, TABBAK, Channel One Russia",N/A,True
6,Paradox,2017,N/A,08 May 2018,101 min,"Action, Adventure, Crime, Thriller",Wilson Yip,"Nick Cheuk (screenwriter), Lai-Yin Leung","Louis Koo, Yue Wu, Ka Tung Lam, Chris Collins","Hong Kong police negotiator Lee Chung-Chi has learned that his 16 year old daughter Wing-Chi has disappeared while in Thailand. He travels to Thailand and teams up with Chinese officer Tsui Kit and his partner, Tak, as they face off against American gangster Sacha, who is operating a black market organ smuggling ring. A series of clues lead Chung-Chi to not only learn the fate of his daughter, but overcome the odds to stop the ring once and for all.","Cantonese, Thai","China, Hong Kong",6 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTEzYzczMTctNTJhMy00YTdiLWJkZTAtNGM0YzYyMjMyY2VmXkEyXkFqcGdeQXVyNjgwNTk4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.5,"3,352",tt7245176,movie,08 May 2018,N/A,Aether Film Production,N/A,True
7,The Odd Couple II,1998,PG-13,10 Apr 1998,97 min,"Adventure, Comedy",Howard Deutch,Neil Simon,"Jack Lemmon, Walter Matthau, Richard Riehle, Jonathan Silverman","It has been seventeen years now since Oscar and Felix saw each other for the last time. Oscar is living in Florida, Felix in New York. One day, Oscar is called by his son Brucey who invites him to his wedding to Felix' daughter Hannah next Sunday in California. Oscar and Felix meet again at Los Angeles International Airport and take a rental car in order to go to San Malina for the wedding. The trip develops into an odyssey, starting with Oscar forgetting Felix' suitcase at the Budget station, going over to the complete loss of the directions (and the car), several difficulties with the police, a dead person, a toupee, underwear and revenge-hungry Cowboys and ending up with Felix meeting the ""one and only"" woman. But the wedding has to be reached on time.","English, Spanish",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYzE4ZDVmNzctMTZkOS00MDhlLWE1ZjgtOTgyNWUxMzlhNjIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}]",N/A,6.5,"9,373",tt0120773,movie,01 Jul 2013,"$18,912,328","Paramount Pictures, Cort/Madden Productions",N/A,True
8,Twilight Zone: The Movie,1983,PG,24 Jun 1983,101 min,"Horror, Sci-Fi","Joe Dante, John Landis, George Miller, Steven Spielberg","John Landis, George Clayton Johnson (screenplay by), Richard Matheson (screenplay by), Melissa Mathison (screenplay by), George Clayton Johnson (story by), Richard Matheson (screenplay by), Jerome Bixby (based on a story by), Richard Matheson (based on a story by), Rod Serling (inspired by ""The Twilight Zone"" created by)","Dan Aykroyd, Albert Brooks, Vic Morrow, Doug McGrath","Four directors collaborated to remake four episodes of the popular television series 'The Twilight Zone' for this movie. The episodes are updated slightly and in color (the television show was in black-and-white), but very true to the originals, where eerie and disturbing situations gradually spin out of control.","English, French, German, Vietnamese",USA,1 win & 8 nominations.,https://m.media-amazon.com/images/M/MV5BYjQ2NzgzYjEtMzAxNy00MzhkLWE5ZTUtZDA1ODY3MTBjOTRiXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.5,"33,560",tt0086491,movie,15 Aug 2008,"$29,450,919",Warner Bros.,N/A,True
9,Imperium,2016,R,19 Aug 2016,109 min,"Biography, Crime, Drama, Thriller, War",Daniel Ragussis,"Michael German (story), Joe Turner Lin (Story Consultant), Daniel Ragussis (screenplay)","Daniel Radcliffe, Toni Collette, Tracy Letts, Sam Trammell",Idealistic FBI agent Nate Foster goes undercover to take down a radical white supremacy terrorist group. The up-and-coming analyst must confront the challenge of sticking to a new identity while maintaining his real principles as he navigates the dangerous underworld of white supremacy.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk5MzY4MDkwOV5BMl5BanBnXkFtZTgwMzY4MzczOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.5,"43,106",tt4781612,movie,06 Nov 2016,N/A,Grindstone Entertainment Group,N/A,True
