label,id_img,path
happy,22373,happy/22373.jpg
happy,21433,happy/21433.jpg
happy,12418,happy/12418.jpg
happy,21278,happy/21278.jpg
happy,08081,happy/08081.jpg
happy,26068,happy/26068.jpg
happy,18705,happy/18705.jpg
happy,18413,happy/18413.jpg
happy,22585,happy/22585.jpg
happy,27133,happy/27133.jpg
happy,12776,happy/12776.jpg
happy,16588,happy/16588.jpg
happy,15781,happy/15781.jpg
happy,12520,happy/12520.jpg
happy,22633,happy/22633.jpg
happy,22500,happy/22500.jpg
happy,11952,happy/11952.jpg
happy,08636,happy/08636.jpg
happy,28313,happy/28313.jpg
happy,17035,happy/17035.jpg
happy,09079,happy/09079.jpg
happy,12612,happy/12612.jpg
happy,16238,happy/16238.jpg
happy,07674,happy/07674.jpg
happy,26357,happy/26357.jpg
happy,27638,happy/27638.jpg
happy,25309,happy/25309.jpg
happy,24924,happy/24924.jpg
happy,07627,happy/07627.jpg
happy,23350,happy/23350.jpg
happy,16563,happy/16563.jpg
happy,12601,happy/12601.jpg
happy,16759,happy/16759.jpg
happy,20612,happy/20612.jpg
happy,15304,happy/15304.jpg
happy,23585,happy/23585.jpg
happy,22380,happy/22380.jpg
happy,15801,happy/15801.jpg
happy,00240,happy/00240.jpg
happy,13204,happy/13204.jpg
happy,23498,happy/23498.jpg
happy,12953,happy/12953.jpg
happy,19200,happy/19200.jpg
happy,24429,happy/24429.jpg
happy,22686,happy/22686.jpg
happy,28658,happy/28658.jpg
happy,22083,happy/22083.jpg
happy,24607,happy/24607.jpg
happy,10644,happy/10644.jpg
happy,17997,happy/17997.jpg
happy,19481,happy/19481.jpg
happy,09979,happy/09979.jpg
happy,15521,happy/15521.jpg
happy,09637,happy/09637.jpg
happy,16434,happy/16434.jpg
happy,16937,happy/16937.jpg
happy,19707,happy/19707.jpg
happy,14093,happy/14093.jpg
happy,28046,happy/28046.jpg
happy,21902,happy/21902.jpg
happy,15384,happy/15384.jpg
happy,12343,happy/12343.jpg
happy,14272,happy/14272.jpg
happy,13966,happy/13966.jpg
happy,21325,happy/21325.jpg
happy,08171,happy/08171.jpg
happy,23229,happy/23229.jpg
happy,13062,happy/13062.jpg
happy,25620,happy/25620.jpg
happy,14398,happy/14398.jpg
happy,11164,happy/11164.jpg
happy,09597,happy/09597.jpg
happy,21579,happy/21579.jpg
happy,08888,happy/08888.jpg
happy,26370,happy/26370.jpg
happy,16614,happy/16614.jpg
happy,08704,happy/08704.jpg
happy,22530,happy/22530.jpg
happy,26169,happy/26169.jpg
happy,12098,happy/12098.jpg
happy,22600,happy/22600.jpg
happy,22027,happy/22027.jpg
happy,26554,happy/26554.jpg
happy,24969,happy/24969.jpg
happy,21200,happy/21200.jpg
happy,23425,happy/23425.jpg
happy,12112,happy/12112.jpg
