,word,count,genres,title_occurrence,%_occurrence,mean_rating,Unnamed: 0,index
0,war,69,History,58,16.95906432748538,7.033330022440601,0.0,2663.0
1,story,68,History,58,16.95906432748538,7.041620877167926,1.0,994.0
2,life,66,History,55,16.08187134502924,6.884023652369649,2.0,908.0
3,film,63,History,48,14.035087719298245,7.074265638867367,3.0,3035.0
4,young,43,History,36,10.526315789473683,6.805817019793739,4.0,3812.0
5,american,39,History,33,9.649122807017545,7.073361350880011,5.0,419.0
6,world,34,History,32,9.35672514619883,7.114116406508787,6.0,4117.0
7,new,39,History,31,9.064327485380115,7.200618165304257,7.0,382.0
8,true,32,History,30,8.771929824561404,6.948149300964032,8.0,2726.0
9,family,34,History,30,8.771929824561404,6.672068665705947,9.0,813.0
10,british,51,History,30,8.771929824561404,7.035948742708228,10.0,1971.0
11,own,30,History,27,7.894736842105263,7.053460807606969,11.0,2016.0
12,get,30,History,26,7.60233918128655,6.99070760059788,12.0,3674.0
13,years,30,History,25,7.309941520467836,7.00680349985362,13.0,8.0
14,men,29,History,24,7.017543859649122,7.17459525154327,14.0,3057.0
15,history,24,History,23,6.7251461988304095,7.004649720862632,15.0,2697.0
16,other,23,History,23,6.7251461988304095,7.072113638817259,16.0,3344.0
17,man,23,History,22,6.432748538011696,6.879964119700063,17.0,2679.0
18,wife,22,History,22,6.432748538011696,6.620208889141299,18.0,2586.0
19,events,22,History,22,6.432748538011696,7.164137828009999,19.0,436.0
20,army,28,History,21,6.140350877192983,7.019139906891725,20.0,3125.0
21,way,21,History,20,5.847953216374269,7.117642621944965,21.0,3392.0
22,military,24,History,20,5.847953216374269,6.863209968049164,22.0,1371.0
23,love,27,History,20,5.847953216374269,6.892600487769768,23.0,4175.0
24,time,22,History,20,5.847953216374269,6.992593672268535,24.0,4282.0
25,small,22,History,19,5.555555555555555,6.85937153252333,25.0,1214.0
26,many,20,History,18,5.2631578947368425,7.103691058094426,26.0,2629.0
27,political,26,History,18,5.2631578947368425,7.005602816098407,27.0,368.0
28,death,20,History,18,5.2631578947368425,6.75328605852338,28.0,2449.0
29,civil,19,History,18,5.2631578947368425,7.258182517900939,29.0,4028.0
0,man,21,Film-Noir,17,20.0,7.397246803898646,0.0,650.0
1,wife,18,Film-Noir,17,20.0,6.924629495497582,1.0,512.0
2,police,20,Film-Noir,16,18.823529411764707,7.062710430045169,2.0,938.0
3,new,19,Film-Noir,15,17.647058823529413,6.760145362332249,3.0,576.0
4,finds,21,Film-Noir,15,17.647058823529413,6.794875660930258,4.0,218.0
5,begins,11,Film-Noir,10,11.764705882352942,7.174398923072788,5.0,1524.0
6,doesn't,10,Film-Noir,10,11.764705882352942,6.957804958489726,6.0,3.0
7,find,11,Film-Noir,10,11.764705882352942,7.245309104277342,7.0,1248.0
8,other,10,Film-Noir,9,10.588235294117649,7.111612829255555,8.0,1623.0
9,young,9,Film-Noir,9,10.588235294117649,6.720728441098631,9.0,673.0
10,he's,12,Film-Noir,9,10.588235294117649,7.061085525902971,10.0,444.0
11,home,8,Film-Noir,8,9.411764705882351,6.640441894478744,11.0,1586.0
12,death,8,Film-Noir,8,9.411764705882351,7.051434035523243,12.0,307.0
13,life,9,Film-Noir,8,9.411764705882351,6.993454490869456,13.0,1350.0
14,becomes,11,Film-Noir,8,9.411764705882351,6.786108871518495,14.0,1468.0
15,own,7,Film-Noir,7,8.235294117647058,6.94881617693549,15.0,1310.0
16,money,10,Film-Noir,7,8.235294117647058,7.363305083523243,16.0,1629.0
17,dead,9,Film-Noir,7,8.235294117647058,6.753828893376886,17.0,624.0
18,kill,9,Film-Noir,7,8.235294117647058,6.724860483732969,18.0,1427.0
19,fall,7,Film-Noir,7,8.235294117647058,6.783785220169906,19.0,518.0
20,works,7,Film-Noir,7,8.235294117647058,7.26943453350723,20.0,1608.0
21,returns,6,Film-Noir,6,7.0588235294117645,6.762681026383102,21.0,1578.0
22,way,6,Film-Noir,6,7.0588235294117645,7.015772916616135,22.0,41.0
23,lead,6,Film-Noir,6,7.0588235294117645,7.09249371138343,23.0,1155.0
24,york,7,Film-Noir,6,7.0588235294117645,6.887871986470713,24.0,1031.0
25,sister,6,Film-Noir,6,7.0588235294117645,6.070951547288046,25.0,973.0
26,falls,6,Film-Noir,6,7.0588235294117645,6.878036359543085,26.0,216.0
27,little,6,Film-Noir,6,7.0588235294117645,7.00706343529022,27.0,951.0
28,business,7,Film-Noir,6,7.0588235294117645,7.333808399392729,28.0,54.0
29,prison,6,Film-Noir,6,7.0588235294117645,6.873348564947516,29.0,95.0
30,war,6,Film-Noir,6,7.0588235294117645,7.03499355583511,30.0,629.0
31,husband,6,Film-Noir,6,7.0588235294117645,7.091476023239374,31.0,554.0
32,gang,8,Film-Noir,6,7.0588235294117645,6.984071673141575,32.0,357.0
33,tries,6,Film-Noir,6,7.0588235294117645,6.581826783442099,33.0,835.0
34,sets,5,Film-Noir,5,5.882352941176471,6.79838323305282,34.0,1656.0
35,first,6,Film-Noir,5,5.882352941176471,7.235353072044194,35.0,1635.0
36,it's,5,Film-Noir,5,5.882352941176471,7.137645238204383,36.0,0.0
37,long,5,Film-Noir,5,5.882352941176471,7.20468273982573,37.0,1208.0
38,world,5,Film-Noir,5,5.882352941176471,6.95747813244961,38.0,1137.0
39,everyone,6,Film-Noir,5,5.882352941176471,7.176089274621448,39.0,1128.0
40,johnny,11,Film-Noir,5,5.882352941176471,7.535323570977103,40.0,1085.0
41,rich,5,Film-Noir,5,5.882352941176471,7.166780040664802,41.0,954.0
42,hires,5,Film-Noir,5,5.882352941176471,7.261112435355895,42.0,654.0
43,harry,13,Film-Noir,5,5.882352941176471,7.1246986888471096,43.0,402.0
44,murder,6,Film-Noir,5,5.882352941176471,6.973905168646515,44.0,401.0
45,turns,5,Film-Noir,5,5.882352941176471,7.065151057810456,45.0,170.0
46,small,5,Film-Noir,5,5.882352941176471,6.93504960697638,46.0,158.0
47,newspaper,5,Film-Noir,5,5.882352941176471,7.086271267965704,47.0,81.0
48,kills,6,Film-Noir,5,5.882352941176471,6.7968276475024565,48.0,1669.0
0,new,65,Animation,52,18.63799283154122,7.074784263373221,0.0,315.0
1,young,47,Animation,45,16.129032258064516,6.960251694917516,1.0,3112.0
2,friends,36,Animation,35,12.544802867383511,7.079708486041696,2.0,2324.0
3,story,39,Animation,34,12.186379928315413,6.9761051287638045,3.0,818.0
4,world,36,Animation,32,11.469534050179211,6.958521536784407,4.0,3375.0
5,evil,37,Animation,32,11.469534050179211,6.882704117560124,5.0,1476.0
6,little,29,Animation,27,9.67741935483871,6.762084030661918,6.0,2354.0
7,life,29,Animation,25,8.960573476702509,7.249264184312762,7.0,747.0
8,girl,28,Animation,25,8.960573476702509,6.910418721704493,8.0,2235.0
9,family,28,Animation,24,8.602150537634408,7.220448627152503,9.0,671.0
10,way,24,Animation,23,8.243727598566307,7.304560109419022,10.0,2774.0
11,it's,26,Animation,23,8.243727598566307,7.077311533497445,11.0,2753.0
12,other,27,Animation,23,8.243727598566307,7.072347337088956,12.0,2730.0
13,meets,21,Animation,21,7.526881720430108,6.819724684445865,13.0,1698.0
14,home,22,Animation,21,7.526881720430108,6.947393298128446,14.0,2707.0
15,time,21,Animation,20,7.168458781362007,7.083732821854961,15.0,3525.0
16,,20,Animation,20,7.168458781362007,6.427145094758634,16.0,2167.0
17,become,21,Animation,19,6.810035842293907,6.955184169276024,17.0,156.0
18,great,21,Animation,19,6.810035842293907,7.221426763119122,18.0,783.0
19,discovers,20,Animation,19,6.810035842293907,6.859268589807575,19.0,3462.0
20,decides,18,Animation,18,6.451612903225806,6.933064910416845,20.0,3072.0
21,years,18,Animation,18,6.451612903225806,7.253662024457654,21.0,2.0
22,make,17,Animation,17,6.093189964157706,6.897681241239892,22.0,1820.0
