id,price
0,408
1,2346
2,10447
3,507
4,9471
5,2396
6,1036
7,10711
8,1015
9,473
10,10435
11,16353
12,4092
13,3274
14,2873
15,605
16,18027
17,3564
18,3217
19,8758
20,8491
21,16055
22,4235
23,4727
24,2661
25,7673
26,6617
27,1000
28,871
29,4515
30,9846
31,472
32,4959
33,1723
34,1975
35,651
36,1659
37,7503
38,3216
39,16826
40,2454
41,995
42,586
43,892
44,720
45,8325
46,14024
47,10623
48,490
49,606
50,10204
51,3459
52,2530
53,4051
54,5143
55,2108
56,4718
57,1148
58,9959
59,844
60,5455
61,6096
62,828
63,3972
64,6221
65,6203
66,10406
67,2297
68,8462
69,3882
70,10934
71,7107
72,4340
73,4672
74,1737
75,3092
76,3734
77,4395
78,447
79,1046
80,1107
81,2207
82,522
83,3363
84,2895
85,5436
86,3669
87,2368
88,1262
89,3915
90,1569
91,645
92,477
93,7326
94,680
95,862
96,4693
97,6123
98,2721
99,5166
100,2515
101,3546
102,11512
103,799
104,5329
105,758
106,552
107,7239
108,789
109,4182
110,1069
111,5288
112,662
113,716
114,1270
115,373
116,702
117,573
118,4843
119,2051
120,1410
121,968
122,863
123,15485
124,689
125,489
126,3176
127,4805
128,1264
129,10446
130,743
131,12551
132,9336
133,956
134,2992
135,1583
136,5214
137,1438
138,3802
139,1255
140,646
141,5458
142,707
143,502
144,5027
145,1011
146,6562
147,7861
148,4140
149,17317
150,3676
151,4129
152,3263
153,756
154,14795
155,5220
156,554
157,990
158,1917
159,906
160,596
161,2537
162,10982
163,1372
164,7230
165,8752
166,4656
167,2990
168,435
169,825
170,367
171,4004
172,954
173,921
174,1197
175,3045
176,1904
177,10729
178,540
179,4981
180,463
181,1632
182,9366
183,754
184,18255
185,5030
186,2331
187,2415
188,791
189,8774
190,6656
191,2756
192,6327
193,2207
194,915
195,3556
196,540
197,3880
198,419
199,912
200,4796
201,7102
202,4637
203,14107
204,1625
205,863
206,914
207,489
208,2512
209,1433
210,1369
211,2997
212,2010
213,1659
214,1573
215,3150
216,829
217,485
218,1212
219,2859
220,1727
221,4276
222,2788
223,589
224,2860
225,1418
226,665
227,967
228,5854
229,2908
230,1755
231,12515
232,5497
233,1116
234,1421
235,3722
236,15188
237,4391
238,1043
239,1020
240,4381
241,3354
242,4165
243,9704
244,17499
245,5443
246,2232
247,2369
248,1097
249,985
250,3146
251,3601
252,1847
253,2940
254,872
255,1743
256,633
257,630
258,544
259,4214
260,1290
261,2462
262,990
263,16466
264,10913
265,7283
266,5533
267,435
268,1698
269,2553
270,655
271,1007
272,6282
273,1819
274,1048
275,874
276,814
277,2821
278,854
279,6132
280,6468
281,1407
282,2326
283,7534
284,2232
285,5368
286,4144
287,2813
288,10380
289,1076
290,749
291,11404
292,658
293,360
294,740
295,9199
296,4688
297,2872
298,1100
299,2817
300,6790
301,2381
302,880
303,15966
304,10641
305,590
306,1816
307,6132
308,3353
309,1383
310,18419
311,3599
312,668
313,1694
314,631
315,15076
316,1993
317,1758
318,8385
319,4996
320,4007
321,2644
322,4829
323,1911
324,2197
325,12970
326,8904
327,1244
328,8094
329,4344
330,477
331,1007
332,953
333,13117
334,684
335,552
336,453
337,5192
338,3854
339,4221
340,1264
341,1142
342,2052
343,2355
344,2357
345,5322
346,1249
347,638
348,9248
349,11748
350,6999
351,10219
352,737
353,959
354,2005
355,684
356,12378
357,698
358,2515
359,11108
360,2633
361,2421
362,610
363,16189
364,7794
365,6660
366,16626
367,4218
368,6465
369,1883
370,1238
371,7292
372,2069
373,17073
374,590
375,6447
376,4268
377,5902
378,10145
379,823
380,5090
381,842
382,772
383,4362
384,1122
385,9337
386,1660
387,1046
388,802
389,516
390,457
391,589
392,4165
393,12230
394,16803
395,3118
396,2822
397,3732
398,3686
399,2808
400,7179
401,3655
402,1767
403,900
404,5356
405,2777
406,4341
407,975
408,6047
409,752
410,3763
411,14477
412,2385
413,4130
414,1546
415,1076
416,556
417,10825
418,2885
419,1371
420,1133
421,8870
422,6606
423,2339
424,2633
425,1443
426,10003
427,7318
428,9304
429,942
430,1065
431,890
432,9658
433,9821
434,1096
435,7652
436,8928
437,9555
438,6720
439,2346
440,5082
441,833
442,1748
443,15081
444,744
445,14171
446,3787
447,4588
448,951
449,906
450,1754
451,1292
452,552
453,4072
454,16469
455,840
456,768
457,1122
458,4077
459,9085
460,743
461,7040
462,16295
463,6472
464,3162
465,14725
466,1246
467,886
468,2583
469,13325
470,2952
471,12939
472,1350
473,10640
474,5235
475,1238
476,4260
477,9253
478,4260
479,12044
480,6915
481,4228
482,6795
483,816
484,8496
485,10197
486,965
487,11851
488,3184
489,435
490,1076
491,4295
492,10662
493,3633
494,945
495,698
496,1097
497,2164
498,872
499,402
500,2386
501,838
502,835
503,1092
504,807
505,800
506,7996
507,4186
508,5775
509,4717
510,4368
511,2652
512,1781
513,1949
514,11948
515,7292
516,4782
517,3189
518,2671
519,698
520,612
521,15957
522,3478
523,3253
524,4004
525,584
526,1106
527,3054
528,1815
529,995
530,1002
531,544
532,1125
533,798
534,18236
535,919
536,3180
537,7486
538,1246
539,7279
540,673
541,704
542,7418
543,1432
544,1234
545,9974
546,696
547,1933
548,1323
549,2550
550,526
551,10181
552,459
553,838
554,1114
555,1654
556,675
557,521
558,1001
559,1171
560,489
561,918
562,2922
563,696
564,3675
565,706
566,6531
567,1170
568,13182
569,9193
570,6302
571,608
572,3751
573,5535
574,13563
575,10504
576,931
577,8256
578,1827
579,755
580,5902
581,1243
582,6794
583,5967
584,6194
585,3760
586,2343
587,628
588,4791
589,1397
590,4677
591,4078
592,6169
593,3615
594,1666
595,3360
596,2344
597,683
598,842
599,4963
600,7903
601,6956
602,2363
603,1744
604,5254
605,2355
606,3837
607,4899
608,4025
609,658
610,970
611,698
612,626
613,3287
614,3220
615,1207
616,18279
617,5461
618,980
619,2728
620,15706
621,4234
622,854
623,3160
624,2154
625,648
626,2768
627,7291
628,9124
629,600
630,5885
631,589
632,759
633,3649
634,17598
635,923
636,2251
637,16778
638,13864
639,1819
640,8120
641,854
642,4961
643,2360
644,5088
645,906
646,3083
647,1565
648,4854
649,11048
650,7113
651,9342
652,1147
653,716
654,8953
655,1830
656,7551
657,552
658,3704
659,694
660,625
661,9581
662,465
663,709
664,2107
665,2096
666,2857
667,580
668,5397
669,12209
670,999
671,1680
672,5305
673,942
674,4385
675,7257
676,1259
677,2199
678,872
679,552
680,9037
681,1117
682,840
683,12554
684,2123
685,1567
686,734
687,13675
688,4464
689,3303
690,612
691,1016
692,1197
693,1856
694,5358
695,544
696,1326
697,3377
698,2513
699,6236
700,4730
701,9598
702,5021
703,775
704,4744
705,14947
706,811
707,668
708,7276
709,1310
710,979
711,4352
712,810
713,5602
714,2734
715,10560
716,11863
717,1018
718,761
719,10546
720,1448
721,5123
722,584
723,1893
724,6783
725,705
726,12905
727,2719
728,656
729,3177
730,1814
731,941
732,762
733,3360
734,663
735,5557
736,3338
737,1593
738,476
739,14165
740,1050
741,3189
742,2725
743,1600
744,1338
745,4015
746,5082
747,840
748,5646
749,2817
750,8870
751,608
752,1186
753,381
754,353
755,1436
756,1035
757,8138
758,7106
759,1607
760,498
761,4514
762,6539
763,2994
764,842
765,841
766,6776
767,1907
768,2767
769,876
770,1949
771,5416
772,6525
773,554
774,720
775,5833
776,719
777,10764
778,12616
779,778
780,1326
781,974
782,1129
783,9659
784,15647
785,478
786,990
787,4590
788,9785
789,2804
790,992
791,5974
792,4852
793,1854
794,7602
795,621
796,7945
797,16717
798,13823
799,969
800,3997
801,9431
802,1020
803,1662
804,3018
805,7453
806,872
807,2856
808,14174
809,5671
810,3384
811,809
812,7869
813,4018
814,1815
815,900
816,1662
817,1743
818,1161
819,1693
820,14067
821,926
822,5013
823,14234
824,590
825,1420
826,619
827,2606
828,589
829,5055
830,900
831,3002
832,4295
833,1292
834,957
835,5455
836,7388
837,698
838,707
839,2933
840,4751
841,5747
842,5624
843,863
844,10821
845,1605
846,902
847,5386
848,823
849,734
850,2771
851,12028
852,475
853,1825
854,1369
855,5148
856,1842
857,10134
858,620
859,6787
860,5136
861,2174
862,562
863,3550
864,1975
865,544
866,6578
867,1176
868,2424
869,4476
870,872
871,842
872,2757
873,3162
874,1736
875,586
876,763
877,14328
878,654
879,749
880,1419
881,5523
882,4547
883,576
884,482
885,605
886,591
887,8138
888,14424
889,4628
890,3385
891,4899
892,880
893,5548
894,1125
895,1574
896,1940
897,4395
898,626
899,13092
900,7147
901,5396
902,2539
903,1937
904,1451
905,695
906,4552
907,13811
908,489
909,1970
910,702
911,9548
912,1676
913,13134
914,3858
915,1131
916,561
917,1031
918,625
919,1970
920,5739
921,6720
922,579
923,6537
924,1809
925,10412
926,5755
927,665
928,7909
929,3788
930,10439
931,880
932,2993
933,4469
934,4544
935,7693
936,4128
937,2049
938,6180
939,14249
940,4636
941,1089
942,12030
943,1033
944,1110
945,2425
946,487
947,8631
948,4732
949,3944
950,953
951,596
952,3539
953,15258
954,4138
955,15291
956,905
957,432
958,2324
959,612
960,1245
961,7426
962,2770
963,462
964,4093
965,2295
966,4561
967,1031
968,4002
969,4239
970,6971
971,2501
972,516
973,931
974,11116
975,15109
976,984
977,6763
978,1438
979,2042
980,3736
981,5056
982,4685
983,15415
984,1976
985,3139
986,924
987,825
988,6183
989,12792
990,984
991,698
992,6803
993,6985
994,710
995,4837
996,6843
997,1614
998,394
999,4511
1000,8092
1001,1050
1002,4619
1003,477
1004,2386
1005,483
1006,5805
1007,7912
1008,4168
1009,619
1010,787
1011,1605
1012,1084
1013,828
1014,907
1015,629
1016,1061
1017,4885
1018,857
1019,5579
1020,2157
1021,2367
1022,2048
1023,4702
1024,1942
1025,3360
1026,12492
1027,2822
1028,2503
1029,2131
1030,5340
1031,2553
1032,666
1033,1750
1034,12531
1035,2646
1036,3924
1037,2670
1038,675
1039,547
1040,2799
1041,2650
1042,1268
1043,3805
1044,15513
1045,18508
1046,979
1047,5864
1048,4249
1049,1107
1050,10317
1051,4381
1052,4740
1053,633
1054,477
1055,3171
1056,1993
1057,4843
1058,626
1059,1832
1060,16126
1061,472
1062,568
1063,2005
1064,1617
1065,6973
1066,596
1067,2218
1068,700
1069,4506
1070,3485
1071,975
1072,2202
1073,453
1074,1956
1075,1336
1076,3549
1077,3179
1078,1295
1079,3699
1080,5418
1081,12546
1082,1668
1083,5040
1084,4659
1085,590
1086,4849
1087,854
1088,1101
1089,612
1090,723
1091,3107
1092,680
1093,555
1094,18435
1095,3478
1096,9828
1097,1988
1098,670
1099,2129
1100,844
1101,1629
1102,2307
1103,8575
1104,5766
1105,891
1106,603
1107,1059
1108,7991
1109,12394
1110,3040
1111,1013
1112,5260
1113,6291
1114,6124
1115,2649
1116,11212
1117,921
1118,13122
1119,1580
1120,544
1121,1400
1122,1235
1123,2830
1124,6299
1125,741
1126,3265
1127,3428
1128,2307
1129,3310
1130,1080
1131,2463
1132,880
1133,4232
1134,913
1135,906
1136,1939
1137,2915
1138,4194
1139,4199
1140,8703
1141,10222
1142,814
1143,891
1144,5666
1145,645
1146,1100
1147,910
1148,9784
1149,4730
1150,802
1151,803
1152,1619
1153,4207
1154,15201
1155,1304
1156,1781
1157,698
1158,853
1159,10984
1160,11037
1161,8355
1162,1076
1163,12381
1164,1948
1165,6987
1166,2136
1167,9391
1168,874
1169,1074
1170,8629
1171,983
1172,12339
1173,1868
1174,2358
1175,13063
1176,3943
1177,8424
1178,635
1179,558
1180,552
1181,9189
1182,7877
1183,4126
1184,6659
1185,2407
1186,12762
1187,5426
1188,4381
1189,2184
1190,3933
1191,784
1192,1336
1193,8743
1194,8577
1195,914
1196,516
1197,4942
1198,11374
1199,2420
1200,1363
1201,839
1202,4561
1203,5218
1204,840
1205,827
1206,5816
1207,14447
1208,588
1209,681
1210,2822
1211,15293
1212,1004
1213,5351
1214,432
1215,5430
1216,6135
1217,669
1218,1019
1219,4401
1220,2344
