,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
0,The Secret Scripture,2016,PG-13,13 Oct 2017,108 min,"Drama, Romance",Jim Sheridan,"Sebastian Barry (based on the novel by), Jim Sheridan, Johnny Ferguson","Eric Bana, Rooney Mara, Aidan Turner, Theo James","Roseanne McNulty must vacate the soon-to-be demolished mental institution in Roscommon, Ireland that she's called home for over 50 years. The hospital's psychiatrist, Dr. William Grene, is called in to assess her condition. He finds himself intrigued by Roseanne's seemingly inscrutable rituals and tics, and her fierce attachment to her Bible, which she has over the decades transformed into a palimpsest of scripture, drawings, and cryptic diary entries. As Grene delves deeper into Roseanne's past, we see her as a young woman, whose charisma proves seductive. We learn that she moved to Sligo to work in her aunt's café, fell in love with a dashing fighter pilot), and that a local priest fell tragically in love with her.",English,Ireland,2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BOTg1MTg2NDA3MF5BMl5BanBnXkFtZTgwOTM2NjE2MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,6.7,"6,720",tt3344694,movie,13 Oct 2017,N/A,Irish Film Board,N/A,True
1,Les Cowboys,2015,R,25 Nov 2015,104 min,Drama,Thomas Bidegain,"Laurent Abitbol (original idea), Thomas Bidegain (original idea), Thomas Bidegain (screenplay), Noé Debré (screenplay)","François Damiens, Finnegan Oldfield, Agathe Dronne, Ellora Torchia","When his daughter goes missing from their prairie town east of France, Alain and his young son, Kid, head out to find her. The journey takes the men to some far-off and unsettling places in what begins to feel like an endless quest.","English, French, Urdu","France, Belgium",4 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTgyOTIwMzcxN15BMl5BanBnXkFtZTgwNzM4OTEwOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.7,"2,011",tt4228294,movie,11 Oct 2016,"$73,725",N/A,N/A,True
2,Deewana Mastana,1997,Not Rated,23 Sep 1997,140 min,"Comedy, Romance",David Dhawan,"Anees Bazmee (dialogue), Anees Bazmee (screenplay), Anees Bazmee (story), Prayag Raj (additional screenplay)","Anil Kapoor, Govinda, Juhi Chawla, Johnny Lever","Raja is a minor league crook who sells railway tickets on the black market at Amirpur station. Tired of his job he looks for new ways to make a quick buck. One day, along with his friend Ghafoor and a police inspector, he robs Rs 2.5 million from the railway treasury. Later, Raja and Ghafoor bump off the inspector and run away with the loot to Bombay. At Bombay airport, Raja sets eyes on Dr Neha and promptly falls in love with the psychiatrist, for that's what she is. Raja and Ghafoor quickly find out where she lives. Ghafoor pretends to be a psychiatric patient while Raja takes on the name Raj Kumar and befriends her, telling her he has just returned from the US. However, Ghafoor cautions Raja not to hurry and be patient in matters of love. The trouble begins when Bunnu, the son of a wealthy businessman, is sent to Neha for treatment. He is really crazy, and terrified of fire, heights, running and water. Soon, he too falls for Neha and discovers he has a rival in Raja. Suddenly, Neha has to leave for Ooty with her father to attend her uncle's wedding. She does not leave behind a forwarding address. However, both Raja and Bunnu impersonate policemen and intimidate her secretary into revealing where she's vamoosed. Dr Neha is thrilled to see them in Ooty, but is drawn closer to the ill Bunnu rather than Raja. Things take an ugly turn when Ghafoor tires to kill Bunnu, who escapes. Bunnu contacts contract killer Pappu Pager to bump off Raja. However, that plan too comes a cropper. Armed with a gold ring and garland, Neha calls Bunnu and Raja to court, ostensibly with the purpose of marriage. Both are surprised to see the other there.",Hindi,India,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZGM2ZWIwZDgtODEyOS00YmNlLTllY2QtMDVjZGE0NmU5YjFmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,6.7,"2,458",tt0118957,movie,21 Oct 2019,N/A,N/A,N/A,True
3,The Chronicles of Riddick,2004,R,11 Jun 2004,119 min,"Action, Adventure, Sci-Fi, Thriller",David Twohy,"Jim Wheat (characters), Ken Wheat (characters), David Twohy","Vin Diesel, Colm Feore, Thandiwe Newton, Judi Dench","Riddick, now a hunted man, finds himself in the middle of two opposing forces in a major crusade. Colm Feore plays Lord Marshal, a warrior priest who is the leader of a sect that is waging the tenth and perhaps final crusade 500 years in the future. Judi Dench is Aereon, an ambassador from the Elemental race. She is an ethereal being who helps Riddick unearth his origins.",English,USA,5 nominations.,https://m.media-amazon.com/images/M/MV5BNzBjNmJkYjUtMTFjMC00ZWI5LWEyM2YtNzczOTczMmM1ODY5XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.7,"216,502",tt0296572,movie,22 Jul 2015,"$57,761,012","One Race Productions, Universal Pictures, Primal Foe Productions, Radar Pictures",N/A,True
4,Kiss and Cry,2017,N/A,31 Aug 2017,95 min,"Biography, Drama, Music, Romance, Sport",Sean Cisterna,Willem Wennekers,"Sarah Fisher, Luke Bilyk, Chantal Kreviazuk, Sergio Di Zio","A truly touching story consisting of a smart, talented girl who's dreams come to a stop because it is discovered she has a rare form of throat cancer. Her family and her boyfriend John help her through every step of the way as she keeps her hopes up and continues to smile.",English,Canada,5 wins.,https://m.media-amazon.com/images/M/MV5BNmViYTJkNmUtZGNmNS00NTk4LWJlMTEtNzA1MzA3ZDU1ZTQ4XkEyXkFqcGdeQXVyMjEyMDYzNjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,6.7,"2,692",tt5224012,movie,23 May 2017,N/A,Mythic Productions,N/A,True
5,Young Goethe in Love,2010,Not Rated,14 Oct 2010,102 min,"Biography, Romance",Philipp Stölzl,"Alexander Dydyna (screenplay), Christoph Müller (screenplay), Philipp Stölzl (screenplay)","Alexander Fehling, Miriam Stein, Moritz Bleibtreu, Volker Bruch","After aspiring poet Johann Wolfgang von Goethe fails his law exams, he's sent to a sleepy provincial court to reform. Instead, he falls for Lotte, a young woman who is promised to another man.",German,Germany,4 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BZWNmODA1NWQtNjY5NC00YTFjLWI0OGItOGZjZTdkOWJhZGI0XkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.7,"2,785",tt1440180,movie,22 Mar 2016,"$162,138","herbX film GmbH, Erfttal Film, Senator Film Produktion GmbH [de], Goldkind Filmproduktion GmbH &amp; Co. KG München, Magnolia Films, Warner Bros., Seven Pictures",N/A,True
6,The Third Wife,2018,R,15 May 2019,96 min,Drama,Ash Mayfair,Ash Mayfair,"Hong Chuong Nguyen, Long Le Vu, Nu Yên-Khê Tran, Maya","In 19th century rural Vietnam, May is ready to become the third wife of a wealthy landowner. Little does she know that her hidden desires will force her to decide between living in safety and being free.",Vietnamese,Vietnam,10 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BNzIzYjZiOTktZTEyZi00NWEyLWFkMDMtNTczODU5ZjZjM2Y1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.7,"1,748",tt7692966,movie,10 Sep 2019,"$84,933",N/A,N/A,True
7,The St. Valentine's Day Massacre,1967,Not Rated,30 Jun 1967,100 min,"Crime, Drama, History",Roger Corman,Howard Browne,"Jason Robards, George Segal, Ralph Meeker, Jean Hale","Chicago February 14th 1929. Al Capone finally establishes himself as the city's boss of organised crime. In a north-side garage his hoods, dressed as policemen, surprise and mow down with machine-guns the key members of Bugs Moran's rival gang. The film traces the history of the incident, and the lives affected and in some cases ended by it.","English, Italian",USA,N/A,https://m.media-amazon.com/images/M/MV5BZDUyNmQzYTAtMzAwMS00MTU5LThjY2EtNGYzZmMzYjU3YTNjXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,6.7,"3,768",tt0062301,movie,25 Nov 2015,N/A,Los Altos Productions,N/A,True
8,The Wave,2015,R,28 Aug 2015,105 min,"Action, Drama, Thriller",Roar Uthaug,"John Kåre Raake, Harald Rosenløw-Eeg","Kristoffer Joner, Ane Dahl Torp, Jonas Hoff Oftebro, Edith Haagenrud-Sande","Based on the fact that mountain pass Åkneset, located in the Geiranger fjord in Norway, one day will fall out and create a violent tsunami of over 80 meters that will crush everything in its path before it hits land in Greenland. A geologist gets caught in the middle of it and a race against time begins.","Norwegian, English","Norway, Sweden",7 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMTg5Mjg0MjgxMl5BMl5BanBnXkFtZTgwNjUzNDg0NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.7,"34,613",tt3616916,movie,04 Apr 2017,"$177,404","Fantefilm, Film i Väst",N/A,True
9,The Pirates! Band of Misfits,2012,PG,27 Apr 2012,88 min,"Animation, Adventure, Comedy, Family","Peter Lord, Jeff Newitt(co-director)","Gideon Defoe (book), Gideon Defoe (screenplay by)","Hugh Grant, Martin Freeman, Imelda Staunton, David Tennant","After years of humiliation and failed attempts to win the coveted Pirate of the Year Award, Pirate Captain and his oddball crew take on the cream of the pirating crop - Black Bellamy, Peg Leg Hastings and Cutlass Liz - in a race to pillage the most booty. They soon cross paths with lovelorn scientist Charles Darwin, who persuades the Captain that the crew's prized 'parrot', Polly, could be the answer to the 'untold riches' they are searching for. Their adventure takes them to Victorian London where they meet Darwin's sidekick 'man-panzee' Mister Bobo, and the notorious pirate-hating Queen Victoria herself. It soon unfolds that Darwin's motives for helping the crew are not what they seem, and the Queen has an evil hidden agenda of her own. The Pirate Captain must choose between basking in the glory of being crowned Pirate of the Year, or staying faithful to his trusted crew.",English,"UK, USA, Ireland, France, Canada",Nominated for 1 Oscar. Another 19 nominations.,https://m.media-amazon.com/images/M/MV5BNDhkOGZkZWMtNGI4Mi00ZWI3LTgyYTgtMDU4ZDI3NTNjMWFiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.7,"45,478",tt1430626,movie,N/A,"$31,051,126",N/A,N/A,True
